,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
8473,23,Cleveland Park Bar &amp; Grill  Cleveland Park ,4.7,17,"American, Bar Food, Exclusive to Eats",2,"3421 Connecticut Ave NW, Washington, DC, 20008",20008,38.9350366,-77.0578407,0
18429,63,Pho Kobee,4.6,112,"Vietnamese, Noodles, Healthy",2,"4021 Reggis Ct, Fort Worth, TX, 76155",76155,32.82321,-97.059234,0
562,29,El Azteca Mexican Restaurant  Eisenhower ,4.6,45,Mexican,2,"N474 Eisenhower Dr, Appleton, WI, 54915",54915,44.25664,-88.3460618,0
11020,56,Nuevo Mexico Restaurante  Richmond - Staples Mill Rd ,4.4,40,Mexican,2,"10282 Staples Mill Rd, Glen Allen, VA, 23060",23060,37.6573754,-77.5262152,0
8164,95,Bob Evans 282  14490 Smoketown Road ,4.3,85,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals",2,"14490 Smoketown Road, Woodbridge, VA, 22192",22192,38.638142,-77.2988632,0
14307,40,Cupbop  Midvale ,4.7,36,"Korean, Asian, Noodles",2,"752 W Blue Vista Ln, MIdvale, UT, 84047",84047,40.62012,-111.91209,0
5305,26,BluWater Bistro,4.6,150,"American, Salads, Seafood, Burgers, Steak, Pizza, Desserts",2,"102 Lakeside Ave, Seattle, WA, 98122",98122,47.6018043,-122.2849389,0
4654,29,BJ's Restaurant &amp; Brewhouse  Jantzen Beach #407 ,4.4,177,"American, Burgers, Pizza, Family Meals, Alcohol",2,"12105 N. Center, Portland, OR, 97217",97217,45.6105301,-122.6803587,0
3813,63,Thai Terrace,4.7,172,"Thai, Family Meals, Exclusive to Eats",2,"700 SE Chkalov Dr, Vancouver, WA, 98683",98683,45.6161166,-122.5549404,0
18994,230,Mr. Melty  737 Farm To Market 1626 ,4.6,10,"Sandwich, Deli, American, Comfort Food, Kids Friendly",2,"737 West Farm-to-Market 1626, Manchaca, TX, 78748",78748,30.14026,-97.82645,0
2730,132,Fremont Bowl,4.8,171,Japanese,2,"4262 Fremont Ave N, Seattle, WA, 98103",98103,47.6592414,-122.3498626,0
17209,42,Sonic  309 North Frazier Street ,4.4,93,"American, Fast Food, Burgers",2,"309 North Frazier Street, Conroe, TX, 77301",77301,30.311897,-95.4619994,0
